team_name,games_played,win_pct,run_diff,pythagorean_exp,wins,losses,runs_scored,runs_allowed,team_obp,team_slg,team_ops,team_iso,team_era,team_whip,team_k9,team_bb9,team_fip,team_hrs,team_wrc_plus,team_bb_rate,team_k_rate,team_h9,team_hr9
Los Angeles Dodgers,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
New York Yankees,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Atlanta Braves,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Philadelphia Phillies,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
San Diego Padres,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Toronto Blue Jays,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Boston Red Sox,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Pittsburgh Pirates,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
St. Louis Cardinals,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Cincinnati Reds,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Tampa Bay Rays,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Texas Rangers,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Seattle Mariners,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Kansas City Royals,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Arizona Diamondbacks,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
San Francisco Giants,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Houston Astros,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Colorado Rockies,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Detroit Tigers,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Washington Nationals,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Oakland Athletics,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Chicago White Sox,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Los Angeles Angels,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Miami Marlins,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Milwaukee Brewers,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Minnesota Twins,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
New York Mets,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Cleveland Guardians,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Chicago Cubs,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
Baltimore Orioles,80,0.5,0,0.5,40,40,400,400,0.32,0.4,0.72,0.15,4.5,1.3,8.0,3.0,4.0,150,100,0.08,0.22,9.0,1.2
